,08031000_event_rainfall,08029500_event_rainfall,08025500_event_rainfall,08041300_event_rainfall,08011000_event_rainfall,08010000_event_rainfall,07376000_event_rainfall,07376500_event_rainfall,07375960_event_rainfall,07375800_event_rainfall,07378000_event_rainfall,07377240_event_rainfall,07377782_event_rainfall,07377500_event_rainfall,07375000_event_rainfall,08014800_event_rainfall,02481000_event_rainfall,02492343_event_rainfall,02492360_event_rainfall,07382000_event_rainfall,07383500_event_rainfall,07375280_event_rainfall,02488700_event_rainfall,02487900_event_rainfall,02485700_event_rainfall
1981-01-19 00:00:00+00:00,,,,,,,,,,,,1.2869203,,,,,,,,,,,,,
1981-01-27 00:00:00+00:00,,,,,,,,,,,,0.018079545,,,,,,,,,,,,,
1981-01-31 00:00:00+00:00,,,,,,,,,,,,2.4441252,,,,,,,,,,,,,
1981-02-05 00:00:00+00:00,,,,,,,,,,,,6.0094204,,,,,,,,,,,,,
1981-02-07 00:00:00+00:00,,,,,,,,,,,,0.079772726,,,,,,,,,,,,,
1981-02-09 00:00:00+00:00,,,,,,,,,,,,4.0449653,,,,,,,,,,,,,
1981-02-14 00:00:00+00:00,,,,,,,,,,,,1.704875,,,,,,,,,,,,,
1981-02-21 00:00:00+00:00,,,,,,,,,,,,0.76871586,,,,,,,,,,,,,
1981-03-04 00:00:00+00:00,,,,,,,,,,,,2.157125,,,,,,,,,,,,,
1981-03-12 00:00:00+00:00,,,,,,,,,,,,0.26095456,,,,,,,,,,,,,
1981-03-21 00:00:00+00:00,,,,,,,,,,,,2.262466,,,,,,,,,,,,,
1981-03-29 00:00:00+00:00,,,,,,,,,,,,2.4087615,,,,,,,,,,,,,
1981-03-31 00:00:00+00:00,,,,,,,,,,,,0.26581818,,,,,,,,,,,,,
1981-04-04 00:00:00+00:00,,,,,,,,,,,,0.21614774,,,,,,,,,,,,,
1981-04-16 00:00:00+00:00,,,,,,,,,,,,1.1261591,,,,,,,,,,,,,
1981-04-21 00:00:00+00:00,,,,,,,,,,,,0.16065909,,,,,,,,,,,,,
1981-04-23 00:00:00+00:00,,,,,,,,,,,,2.097659,,,,,,,,,,,,,
1981-04-30 00:00:00+00:00,,,,,,,,,,,,1.0667841,,,,,,,,,,,,,
1981-05-04 00:00:00+00:00,,,,,,,,,,,,9.652761,,,,,,,,,,,,,
1981-05-09 00:00:00+00:00,,,,,,,,,,,,1.58525,,,,,,,,,,,,,
1981-05-13 00:00:00+00:00,,,,,,,,,,,,0.7533182,,,,,,,,,,,,,
1981-05-16 00:00:00+00:00,,,,,,,,,,,,0.37653404,,,,,,,,,,,,,
1981-05-25 00:00:00+00:00,,,,,,,,,,,,3.7628071,,,,,,,,,,,,,
1981-05-31 00:00:00+00:00,,,,,,,,,,,,2.170284,,,,,,,,,,,,,
1981-06-03 00:00:00+00:00,,,,,,,,,,,,0.59085226,,,,,,,,,,,,,
1981-06-05 00:00:00+00:00,,,,,,,,,,,,4.3448067,,,,,,,,,,,,,
