usgs_site_no,year,days,flow(mm),baseflow(mm),rainfall(mm),ET(mm),ET/day(mm/day),MODIS_ET(mm/day),MODIS_PET(mm/day),DI,Budyko_ET(mm/day),<ET/R>,<Qb/Qf>
02236350,1999,365.0,31.18474565154718,19.17389977745972,1206.004,1174.8192540585358,3.218682887831605,,4.89228567991566,1.4806619474200806,2.7108860850410497,0.9741420645955802,0.6148486824842337
02236350,2000,365.0,2.440719464731885,2.0780126325578054,786.4951,784.054379602956,2.14809419069303,,4.89228567991566,2.2704327517694045,1.9783171457296476,0.9968966907343658,0.8513934774499275
02236350,2001,365.0,14.658467903132806,8.070461456658643,1293.8658,1279.2073272323653,3.504677608855795,2.0492849616137288,4.764233779918711,1.3439919886267864,2.8079643938529046,0.9886707593728197,0.5505665059943833
02236350,2006,365.0,14.20469644507465,12.181200897601467,1064.8362,1050.631467790994,2.8784423775095727,1.9273543579707964,5.108285413216921,1.7509962639994516,2.5212940648405753,0.986660188586243,0.8575474276907332
02236350,2007,363.0,0.0,0.0,1036.5135,1036.5135579109192,2.8554092504433037,1.9851407496612976,5.065472678006924,1.7739918426179728,2.476647116685714,1.0000000078206712,
02236350,2008,363.0,4.403644033137887,2.056026624986019,1330.436,1326.0323949378094,3.6529818042363895,1.9734327148261575,4.955775986308773,1.352148194647187,2.9099509408105018,0.9966900774617673,0.4668921033385536
02236350,2009,365.0,11.534917282875831,6.441962728605021,1231.8025,1220.2675472022927,3.3431987594583363,1.967552310702996,4.956796628029505,1.4687669359123694,2.7611917060111666,0.9906357203175588,0.5584749825790637
02236350,2010,365.0,62.948884245835664,36.65944988417716,1230.5131,1167.5641524820696,3.1988058972111495,2.0405863314767427,5.040658587987355,1.4951815158610093,2.7751965580146147,0.9488433637888948,0.5823685411326783
02236350,2011,365.0,57.914211888510664,34.77277566017932,1243.3214,1185.407166819375,3.247690867998288,2.0318387776606954,5.0411116965226554,1.4799115922521648,2.79428310801505,0.9534197321827904,0.6004186973504811
02236350,2012,365.0,47.19859593816917,30.422476121934945,1216.5347,1169.3360521822342,3.203660416937628,2.001265537740948,4.966248573830541,1.4900362292796665,2.7404599478275835,0.9612024079302866,0.644563159501372
02236350,2013,362.0,84.39316134233513,54.50157098012238,1208.5165,1124.12333531599,3.105313080983398,2.062522203823574,5.0454561192232426,1.5113199912063102,2.7581312264381097,0.930167982308641,0.6458055381885797
02236350,2014,365.0,133.08456115271338,83.61846236705733,1497.8248,1364.740273670895,3.739014448413411,2.0730295047418337,4.876114707210598,1.1882443350865213,3.090690202574839,0.9111481176937791,0.6283107645454522
