,02236350_event_runoff,02237734_event_runoff,02236500_event_runoff,02236605_event_runoff,02236700_event_runoff,02240954_event_runoff,02240902_event_runoff,02231342_event_runoff,02231396_event_runoff,02231454_event_runoff,02231458_event_runoff,02231600_event_runoff,02232155_event_runoff,02232200_event_runoff,02232415_event_runoff,02233001_event_runoff,02233200_event_runoff,02233460_event_runoff,02233473_event_runoff,02234308_event_runoff,02234324_event_runoff,02234990_event_runoff,02234344_event_runoff,02234998_event_runoff,02234400_event_runoff,02234635_event_runoff,02234384_event_runoff,02234365_event_runoff,022349993_event_runoff,02235000_event_runoff,02233475_event_runoff,02233484_event_runoff,02233500_event_runoff,02234180_event_runoff,02235200_event_runoff,02246000_event_runoff,02244320_event_runoff,02244333_event_runoff,02245255_event_runoff,02245260_event_runoff,02245328_event_runoff,02246150_event_runoff,02244473_event_runoff,02245050_event_runoff,02245140_event_runoff,02245500_event_runoff,02246318_event_runoff,02246300_event_runoff,02246459_event_runoff,02246828_event_runoff,02246832_event_runoff,02246515_event_runoff,02246520_event_runoff,02246359_event_runoff,02231280_event_runoff,02231268_event_runoff
1980-02-19 00:00:00+00:00,,,,,,,,,,,,,,,,0.14835651745425948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-24 00:00:00+00:00,,,,,,0.1888560486058541,0.04517127815109882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05863091769456393,,0.23431482895115724,,,0.7146859090728982,0.42428580837266516,0.14515960173095951,0.4913626648373248,,,0.5763525843323469,,0.9662420230604323,1.0810466916570411,,,,0.29570999331137837,
1980-02-25 00:00:00+00:00,,,,,,,,,,,,,,,,0.04058145036273435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-01 00:00:00+00:00,,,,,,0.06333448232419314,0.022354649990289105,,,,,,,,,0.35847150040756703,,,,,,,,,,,,,,,,,,,,,0.08272640933841362,,0.015464615023533357,,,0.03921542807042481,0.09329804118905431,0.001958229961393156,0.010836353514217864,,,0.16673550305761173,,0.1188757208362434,0.27898656323680493,,,,0.1920462156415988,
1980-03-09 00:00:00+00:00,,,,,,0.5744119893226411,0.08333828509408212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061751260000512634,,0.39289540060371875,,,1.9971989340560026,0.5287764758397149,0.21598159168764858,0.6857595064642573,,,5.798184350102522,,3.559469186779038,4.79306640809844,,,,2.8246837770203292,
1980-03-10 00:00:00+00:00,,,,,,,,,,,,,,,,0.024099713345060055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-13 00:00:00+00:00,,,,,,0.02782582298276981,0.1679024050929454,,,,,,,,,0.06675810699763259,,,,,,,,,,,,,,,,,,,,,0.17391032185246216,,0.012179881085444256,,,0.4618268173226971,0.19337754033274826,0.09361971285653461,0.3592966251846902,,,0.155420739056156,,0.16069998108095776,0.7916384307518016,,,,0.6225020968865751,
1980-03-18 00:00:00+00:00,,,,,,0.01507147657835714,0.02751999560280045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054851601646995096,0.008977093781583512,0.0,0.0035935852583521277,,,0.020844553991615278,,0.12886170456016,0.21222858457016555,,,,0.025447231998128317,
1980-03-21 00:00:00+00:00,,,,,,0.0024581082607468877,0.020334306948400424,,,,,,,,,0.015572876402115163,,,,,,,,,,,,,,,,,,,,,0.03348674861260136,,0.14795968235602652,,,0.0,0.008977093781583512,4.279164657198797e-05,0.0035935852583521277,,,0.020844553991615278,,0.0,0.1524354939632347,,,,0.025447231998128317,
1980-03-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037179489278731555,,2.888695543628861e-05,,,0.040154914257676685,0.013156360953273808,0.00044708273410732355,0.00956494155958057,,,0.025813256072177847,,0.06555499168310022,0.24755388969205278,,,,0.02954269769645145,
1980-03-28 00:00:00+00:00,,,,,,0.01536664096137048,0.013506991882682734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-29 00:00:00+00:00,,,,,,,,,,,,,,,,0.008853407906632993,,,,,,,,,,,,,,,,,,,,,0.05065952720395456,,0.031118947940866965,,,0.3922905787114961,0.10295350035052937,0.037412071283353596,0.09865559183031873,,,1.5275751372185244,,0.9157959463154557,1.2967353312769572,,,,1.6183585068950812,
1980-03-30 00:00:00+00:00,,,,,,0.13090899008377643,0.03791858900699033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-01 00:00:00+00:00,,,,,,,,,,,,,,,,0.04734082601119154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
