,08031000_event_runoff,08029500_event_runoff,08025500_event_runoff,08041300_event_runoff,08011000_event_runoff,08010000_event_runoff,07376000_event_runoff,07376500_event_runoff,07375960_event_runoff,07375800_event_runoff,07378000_event_runoff,07377240_event_runoff,07377782_event_runoff,07377500_event_runoff,07375000_event_runoff,08014800_event_runoff,02481000_event_runoff,02492343_event_runoff,02492360_event_runoff,07382000_event_runoff,07383500_event_runoff,07375280_event_runoff,02488700_event_runoff,02487900_event_runoff,02485700_event_runoff
1980-12-23 00:00:00+00:00,,,,,,,,,,,,0.193107545182635,,,,,,,,,,,,,
1981-01-06 00:00:00+00:00,,,,,,,,,,,,0.19045976794871358,,,,,,,,,,,,,
1981-01-08 00:00:00+00:00,,,,,,,,,,,,0.180178141620743,,,,,,,,,,,,,
1981-01-19 00:00:00+00:00,,,,,,,,,,,,0.19009732733447665,,,,,,,,,,,,,
1981-01-27 00:00:00+00:00,,,,,,,,,,,,0.17433388590555582,,,,,,,,,,,,,
1981-01-31 00:00:00+00:00,,,,,,,,,,,,0.6349014974744676,,,,,,,,,,,,,
1981-02-05 00:00:00+00:00,,,,,,,,,,,,3.2124581853288574,,,,,,,,,,,,,
1981-02-07 00:00:00+00:00,,,,,,,,,,,,0.20303184110691924,,,,,,,,,,,,,
1981-02-09 00:00:00+00:00,,,,,,,,,,,,2.4571580412527214,,,,,,,,,,,,,
1981-02-14 00:00:00+00:00,,,,,,,,,,,,0.3061756351579178,,,,,,,,,,,,,
1981-02-21 00:00:00+00:00,,,,,,,,,,,,0.20002861131343336,,,,,,,,,,,,,
1981-03-04 00:00:00+00:00,,,,,,,,,,,,0.36558120072937744,,,,,,,,,,,,,
1981-03-12 00:00:00+00:00,,,,,,,,,,,,0.1957958320543202,,,,,,,,,,,,,
1981-03-21 00:00:00+00:00,,,,,,,,,,,,0.6597755621553617,,,,,,,,,,,,,
1981-03-29 00:00:00+00:00,,,,,,,,,,,,0.32646422778758477,,,,,,,,,,,,,
1981-03-31 00:00:00+00:00,,,,,,,,,,,,0.18910227978448527,,,,,,,,,,,,,
1981-04-04 00:00:00+00:00,,,,,,,,,,,,0.17473440464041443,,,,,,,,,,,,,
1981-04-16 00:00:00+00:00,,,,,,,,,,,,0.1830172039086757,,,,,,,,,,,,,
1981-04-21 00:00:00+00:00,,,,,,,,,,,,0.2280212272736716,,,,,,,,,,,,,
